,tractID,nodeID,dki_fa,dki_md,dki_mk,dki_awf
1365,ARC_L,65,0.6327803964613834,0.0007790614418279844,1.0174696242004755,0.42641312971855616
1366,ARC_L,66,0.6304262588181637,0.0007877537135336848,1.0280439719512615,0.4241815545821126
1367,ARC_L,67,0.6249502739710766,0.000799768917077217,1.0386704603500274,0.4208848645881324
1368,ARC_L,68,0.6183378572014903,0.0008126073649511137,1.0444839881147723,0.4168024635507101
1369,ARC_L,69,0.6095468526003366,0.0008250942273326032,1.0475778798923787,0.41270724128116915
1370,ARC_L,70,0.6018388945721297,0.0008355880930745099,1.0496992106683876,0.4088748306979409
1371,ARC_L,71,0.5932053183557767,0.000844525036329341,1.051163277067218,0.40447396550048614
1372,ARC_L,72,0.583936388661099,0.0008525679974014223,1.051497780042256,0.3998648708245928
1373,ARC_L,73,0.5729317247431936,0.0008584112574522013,1.0517533641613888,0.3958499132194692
1374,ARC_L,74,0.5612645931287484,0.0008619699321400289,1.0516527364008748,0.3919471666388557
1375,ARC_L,75,0.5495923290266651,0.0008636238092454248,1.0515343529374295,0.3883634060123745
1376,ARC_L,76,0.538151747108612,0.0008632416526037326,1.0518483436311783,0.3851236951302031
1377,ARC_L,77,0.5267980722963158,0.0008628393563819044,1.0515866500938456,0.38158007362001467
1378,ARC_L,78,0.513862267346174,0.0008646943511589214,1.048819810974853,0.3779107055320452
1379,ARC_L,79,0.5027403781025089,0.0008661227035121345,1.045651962969386,0.3746658122896615
1380,ARC_L,80,0.49458536390911395,0.0008676772269682142,1.0434507480971542,0.3719325984525694
1381,ARC_L,81,0.4878591982377165,0.0008693664268325816,1.0412517867248936,0.3700654935432803
1382,ARC_L,82,0.48259868055056016,0.000870807590335633,1.0398565878810642,0.3693472720997596
1383,ARC_L,83,0.4784771923119953,0.0008720211816489452,1.0374700992069925,0.3685565078625842
1384,ARC_L,84,0.47517990996885934,0.0008735255482236645,1.0349912618247146,0.3688809830981588
1385,ARC_L,85,0.4753887525820563,0.0008760843024930041,1.0325655863668026,0.36981659516016685
1386,ARC_L,86,0.47951570792993436,0.0008780305086826159,1.0274578023845402,0.37115162337260393
1387,ARC_L,87,0.48354640908591695,0.0008802611949954936,1.0215599227858534,0.37224365820147537
1388,ARC_L,88,0.4860607049730206,0.0008833837444068227,1.0140664557179722,0.37322140978074825
1389,ARC_L,89,0.4848898775471515,0.0008872449926611263,1.0034253106634772,0.3720464559902626
1390,ARC_L,90,0.48288865299516265,0.0008919345427354656,0.9905869184000551,0.36957193214427736
1391,ARC_L,91,0.47592840558179145,0.0008969097630506768,0.9745704140761828,0.3642670321826072
1392,ARC_L,92,0.46579345406967126,0.000903035190132039,0.9574277490710358,0.35744284414103566
1393,ARC_L,93,0.4521298182920582,0.0009088832399982028,0.9369484640922786,0.34944041895804245
1394,ARC_L,94,0.43234125698537273,0.0009150641356906587,0.9117954187737369,0.3384467393410057
1395,ARC_L,95,0.40617718967654975,0.0009225230774359193,0.8819643025239237,0.32463980822284744
1396,ARC_L,96,0.37336970573311373,0.0009285325469522579,0.8467148424237554,0.3082573358431084
1397,ARC_L,97,0.33662219757027123,0.0009300979584798412,0.8015045314545,0.28815173052226245
1398,ARC_L,98,0.2917466140172739,0.0009235057791159811,0.7362790785455117,0.2619647690312948
1399,ARC_L,99,0.23066956957340984,0.0009055603715771227,0.6561864673202998,0.23374822487193903
1400,UNC_R,0,0.21797741269160362,0.0011389529228767914,0.7118808947391747,0.22942650764332426
1401,UNC_R,1,0.2611785449540059,0.0011249035655205644,0.7330392431938063,0.23857177733653495
1402,UNC_R,2,0.29832914226212787,0.0011142893289589901,0.7596407259944852,0.2487740860602696
1403,UNC_R,3,0.33166443135671014,0.0011065704609004793,0.7861832884126544,0.25901295915232103
1404,UNC_R,4,0.36157710439175433,0.0011035421745291504,0.809588181034378,0.26841398875804645
1405,UNC_R,5,0.38452147421682625,0.0011030838314746209,0.8291136468802212,0.2765887641077969
1406,UNC_R,6,0.3989640041094248,0.001105706552914484,0.8455313496431006,0.2836156598845829
1407,UNC_R,7,0.4069735439363456,0.001108562077545961,0.8588510867112169,0.28900747830304535
1408,UNC_R,8,0.41244491100257114,0.0011106064387763823,0.869884476389262,0.2935701452149235
